Layer,Head,Weight
13,27,1.0156
15,17,0.4570
15,1,0.2910
15,16,0.2832
16,29,0.2832
10,5,0.2383
13,31,0.1216
13,6,0.0923
15,2,0.0811
14,11,0.0762
15,28,0.0737
11,29,0.0703
17,8,0.0679
15,19,0.0659
10,7,0.0654
15,7,0.0623
9,27,0.0615
14,29,0.0593
11,30,0.0583
19,23,0.0576
17,5,0.0557
14,25,0.0540
13,22,0.0535
19,2,0.0525
9,25,0.0496
10,12,0.0469
21,2,0.0437
31,14,0.0435
13,29,0.0425
15,5,0.0422
13,30,0.0398
14,6,0.0381
21,19,0.0371
15,20,0.0359
13,23,0.0356
13,16,0.0327
21,10,0.0310
11,16,0.0293
14,21,0.0286
24,1,0.0284
16,28,0.0273
13,13,0.0266
25,23,0.0266
18,22,0.0254
15,24,0.0245
15,30,0.0239
14,12,0.0227
17,13,0.0222
18,29,0.0220
13,0,0.0219
19,13,0.0217
21,9,0.0214
27,28,0.0193
16,1,0.0186
16,7,0.0183
13,24,0.0178
16,18,0.0176
17,16,0.0173
9,4,0.0171
20,8,0.0168
29,25,0.0168
13,4,0.0167
21,5,0.0166
22,9,0.0166
30,6,0.0161
14,8,0.0159
10,26,0.0152
14,22,0.0152
14,4,0.0150
26,10,0.0150
16,17,0.0149
13,21,0.0146
30,13,0.0145
14,19,0.0143
15,9,0.0143
10,14,0.0133
17,27,0.0132
9,29,0.0126
12,23,0.0126
18,2,0.0125
12,0,0.0122
30,16,0.0122
18,12,0.0121
11,17,0.0121
6,2,0.0120
28,14,0.0117
9,6,0.0117
30,31,0.0115
31,11,0.0113
14,27,0.0112
13,20,0.0110
16,19,0.0109
12,11,0.0107
31,22,0.0106
12,7,0.0106
14,20,0.0106
21,4,0.0106
11,2,0.0105
11,0,0.0104
11,6,0.0104
11,28,0.0104
28,12,0.0104
26,7,0.0102
30,25,0.0102
10,8,0.0101
31,15,0.0101
31,6,0.0098
6,31,0.0097
22,17,0.0096
12,29,0.0095
26,23,0.0095
30,28,0.0090
8,1,0.0085
18,28,0.0084
17,18,0.0082
12,15,0.0078
19,11,0.0075
12,8,0.0074
17,14,0.0073
9,13,0.0070
16,20,0.0070
30,22,0.0070
31,31,0.0070
10,22,0.0069
20,18,0.0068
9,7,0.0068
28,10,0.0067
24,19,0.0066
31,2,0.0066
19,15,0.0064
10,15,0.0063
22,16,0.0063
9,19,0.0060
14,24,0.0059
22,3,0.0058
25,11,0.0057
10,3,0.0056
30,0,0.0056
10,19,0.0055
16,6,0.0054
7,22,0.0052
28,15,0.0051
10,9,0.0050
11,12,0.0049
26,1,0.0049
16,2,0.0048
28,3,0.0047
27,1,0.0045
11,8,0.0045
26,15,0.0042
14,0,0.0042
10,16,0.0042
30,9,0.0042
12,28,0.0041
31,24,0.0040
11,11,0.0039
22,29,0.0039
12,22,0.0039
23,21,0.0038
26,2,0.0038
15,25,0.0037
18,26,0.0037
12,16,0.0036
8,26,0.0036
12,1,0.0036
28,25,0.0036
30,27,0.0036
12,17,0.0036
13,8,0.0036
27,2,0.0035
9,11,0.0034
10,2,0.0033
17,17,0.0033
9,15,0.0032
17,7,0.0032
18,14,0.0031
21,27,0.0031
9,3,0.0030
19,19,0.0030
27,14,0.0029
16,25,0.0029
12,10,0.0028
11,25,0.0027
14,17,0.0027
31,12,0.0027
8,22,0.0027
31,9,0.0026
28,23,0.0026
28,17,0.0026
11,22,0.0026
31,5,0.0025
11,10,0.0025
17,29,0.0025
5,8,0.0023
12,3,0.0023
14,15,0.0023
9,2,0.0023
27,0,0.0023
23,4,0.0023
12,14,0.0022
26,28,0.0022
8,6,0.0021
9,16,0.0021
19,16,0.0021
8,9,0.0021
27,29,0.0021
12,27,0.0020
