layer,head,relation_verbal
0,0,0.013621216639876366
0,1,0.03577534109354019
0,2,0.09739946573972702
0,3,0.08789645880460739
0,4,0.010359818115830421
0,5,-0.04688548669219017
0,6,-0.01510272454470396
0,7,-0.029960619285702705
0,8,0.029023054987192154
0,9,0.08021879941225052
0,10,0.0653010904788971
0,11,0.07684343308210373
0,12,-0.0067114559933543205
0,13,0.005343541968613863
0,14,0.06920473277568817
0,15,0.03594329580664635
0,16,0.03196445479989052
0,17,-0.024625563994050026
0,18,0.021688776090741158
0,19,0.023621628060936928
0,20,-0.027579890564084053
0,21,0.0284870695322752
0,22,0.037685755640268326
0,23,-0.015034087002277374
0,24,0.037435755133628845
0,25,-0.03053397871553898
0,26,0.02636885643005371
0,27,-0.04344627261161804
0,28,0.03616202250123024
0,29,0.4586414694786072
0,30,0.23990166187286377
0,31,0.6422452926635742
1,0,-0.00649596843868494
1,1,0.12366889417171478
1,2,0.012055945582687855
1,3,-0.011383426375687122
1,4,-0.020784854888916016
1,5,0.0039192973636090755
1,6,0.004682877566665411
1,7,0.003801219165325165
1,8,0.01669767126441002
1,9,0.014355527237057686
1,10,0.002940710401162505
1,11,0.028048677369952202
1,12,-0.025721348822116852
1,13,0.02928035333752632
1,14,0.004056381992995739
1,15,0.04102512449026108
1,16,0.0439898818731308
1,17,0.014710327610373497
1,18,0.02351289987564087
1,19,0.012346649542450905
1,20,0.05289589613676071
1,21,0.01013839989900589
1,22,0.03589681163430214
1,23,0.06863027811050415
1,24,0.035263288766145706
1,25,0.03929377347230911
1,26,0.056403886526823044
1,27,0.04052291810512543
1,28,-0.013329030945897102
1,29,-0.021047605201601982
1,30,0.020519375801086426
1,31,-0.0005077632959000766
2,0,0.008732479065656662
2,1,0.02566174417734146
2,2,0.002065684413537383
2,3,-0.013921287842094898
2,4,0.029135799035429955
2,5,0.01170312613248825
2,6,0.029756249859929085
2,7,0.003266221145167947
2,8,0.002244138391688466
2,9,-0.0006912623648531735
2,10,-0.017432216554880142
2,11,0.0026672629173845053
2,12,0.03601684421300888
2,13,0.005532245617359877
2,14,0.01945737563073635
2,15,0.026360319927334785
2,16,-0.003919635433703661
2,17,-0.0003175650199409574
2,18,-0.002387697109952569
2,19,0.020999886095523834
2,20,0.01975279301404953
2,21,-0.01114773191511631
2,22,0.0388600192964077
2,23,-0.011201596818864346
2,24,0.014637107960879803
2,25,0.023271989077329636
2,26,-0.01411375217139721
2,27,0.0009767323499545455
2,28,-0.003684025490656495
2,29,-0.0389823280274868
2,30,-0.05147799104452133
2,31,-0.011818088591098785
3,0,-0.0011005537817254663
3,1,0.006810059770941734
3,2,-0.015187256038188934
3,3,-0.007175497245043516
3,4,0.01018745917826891
3,5,0.005960124544799328
3,6,0.011005916632711887
3,7,0.014295023865997791
3,8,0.0048277368769049644
3,9,0.024976519867777824
3,10,0.0015064547769725323
3,11,-0.0030720040667802095
3,12,-0.006743169389665127
3,13,-0.005752636585384607
3,14,0.09538780897855759
3,15,-0.035794660449028015
3,16,-0.007253232877701521
3,17,0.00891263596713543
3,18,0.010627621784806252
3,19,0.026245975866913795
3,20,0.02453123778104782
3,21,0.015506680123507977
3,22,0.008893434889614582
3,23,0.021776562556624413
3,24,0.01464904472231865
3,25,-0.05825651064515114
3,26,0.009505103342235088
3,27,0.00768181262537837
3,28,-0.014667446725070477
3,29,0.05226103588938713
3,30,0.03942463546991348
3,31,0.0035889882128685713
4,0,-0.008191078901290894
4,1,0.0063363490626215935
4,2,0.036680035293102264
4,3,-0.005349964369088411
4,4,-0.02454591728746891
4,5,-0.01432318426668644
4,6,0.004841587506234646
4,7,-0.021585194393992424
4,8,0.0018788259476423264
4,9,0.025622092187404633
4,10,0.06204177066683769
4,11,0.005575053859502077
4,12,0.010561065748333931
4,13,0.02416198141872883
4,14,0.029743269085884094
4,15,0.06839511543512344
4,16,0.0203962754458189
4,17,0.01889142394065857
4,18,0.005021080374717712
4,19,0.0059065744280815125
4,20,0.005999418906867504
4,21,0.005107905250042677
4,22,0.01168639212846756
4,23,-0.013860258273780346
4,24,0.0353810079395771
4,25,0.013349083252251148
4,26,0.021108441054821014
4,27,0.029912080615758896
4,28,0.008173917420208454
4,29,0.007607308216392994
4,30,0.011082743294537067
4,31,0.03276796266436577
5,0,0.003108525648713112
5,1,0.02918306738138199
5,2,0.045410942286252975
5,3,0.0313718244433403
5,4,0.006000368390232325
5,5,0.02455063909292221
5,6,0.021534711122512817
5,7,0.05130988359451294
5,8,0.05001671612262726
5,9,0.038703687489032745
5,10,0.011829671449959278
5,11,0.038046061992645264
5,12,0.032035063952207565
5,13,0.02305343933403492
5,14,0.03499969467520714
5,15,0.0294193122535944
5,16,0.033838286995887756
5,17,0.06745484471321106
5,18,0.03976888209581375
5,19,0.025918971747159958
5,20,0.001826644642278552
5,21,-0.018365003168582916
5,22,0.011914670467376709
5,23,0.03706524148583412
5,24,0.05659288167953491
5,25,0.04964037612080574
5,26,0.04185320809483528
5,27,0.06313382834196091
5,28,0.03616650775074959
5,29,0.011384045705199242
5,30,0.0336105041205883
5,31,0.013370401225984097
6,0,0.008798999711871147
6,1,0.021954167634248734
6,2,0.05807391181588173
6,3,-0.007270519156008959
6,4,0.004810564685612917
6,5,0.017559761181473732
6,6,0.04241151362657547
6,7,0.03123471327126026
6,8,-0.0067475768737494946
6,9,0.03451167047023773
6,10,0.016178950667381287
6,11,0.02038881741464138
6,12,0.003581586293876171
6,13,0.031109880656003952
6,14,0.03740324079990387
6,15,-0.0019220375688746572
6,16,0.023932544514536858
6,17,0.040286097675561905
6,18,-0.0008189913351088762
6,19,0.023340607061982155
6,20,0.07107952982187271
6,21,0.04414486512541771
6,22,0.043553855270147324
6,23,0.028854085132479668
6,24,0.015729565173387527
6,25,0.014173010364174843
6,26,0.006445411127060652
6,27,-0.00316768791526556
6,28,0.04064461961388588
6,29,0.07105428725481033
6,30,-0.0013937251642346382
6,31,0.05163085088133812
7,0,0.047196272760629654
7,1,0.08235951513051987
7,2,0.07244191318750381
7,3,0.03624124825000763
7,4,0.06488987803459167
7,5,0.011588303372263908
7,6,0.051736634224653244
7,7,0.03859950229525566
7,8,0.10759322345256805
7,9,0.08321502804756165
7,10,0.07468042522668839
7,11,0.09183013439178467
7,12,0.0650101900100708
7,13,0.06384654343128204
7,14,0.1494351178407669
7,15,0.031111275777220726
7,16,0.042544808238744736
7,17,0.11197822540998459
7,18,0.063800148665905
7,19,0.07032009959220886
7,20,0.05748259276151657
7,21,0.07786176353693008
7,22,0.08074577152729034
7,23,0.016948001459240913
7,24,0.0425349660217762
7,25,0.016417792066931725
7,26,0.06590412557125092
7,27,0.021783584728837013
7,28,0.07574797421693802
7,29,0.1415988802909851
7,30,0.07638762891292572
7,31,0.13640005886554718
8,0,0.07736337929964066
8,1,0.09741273522377014
8,2,0.09742528945207596
8,3,0.09985129535198212
8,4,0.08117672801017761
8,5,0.05262785777449608
8,6,0.09711796790361404
8,7,0.10156021267175674
8,8,0.02490999363362789
8,9,0.08628872036933899
8,10,0.11856811493635178
8,11,0.048198241740465164
8,12,0.09972253441810608
8,13,0.08214277774095535
8,14,0.12587004899978638
8,15,0.1167149767279625
8,16,0.02496005967259407
8,17,0.03631800785660744
8,18,0.03516225889325142
8,19,0.028075626119971275
8,20,0.06139252707362175
8,21,0.06640369445085526
8,22,0.021956907585263252
8,23,0.05660083144903183
8,24,0.036553218960762024
8,25,0.0959821417927742
8,26,0.044653359800577164
8,27,0.05235402658581734
8,28,0.1173369511961937
8,29,0.0790322944521904
8,30,0.11158837378025055
8,31,0.0729265809059143
9,0,0.030622493475675583
9,1,0.07371872663497925
9,2,0.027204282581806183
9,3,0.04647919163107872
9,4,0.04826899990439415
9,5,0.045057881623506546
9,6,0.09481696784496307
9,7,0.24678903818130493
9,8,0.0650707557797432
9,9,0.05427218973636627
9,10,0.071470707654953
9,11,0.05042444169521332
9,12,0.1342875063419342
9,13,0.17087940871715546
9,14,0.1402302086353302
9,15,0.1171797439455986
9,16,0.09429239481687546
9,17,0.16111013293266296
9,18,0.06898076087236404
9,19,0.12269064784049988
9,20,0.14974477887153625
9,21,0.13179786503314972
9,22,0.11570937931537628
9,23,0.1134541928768158
9,24,0.11483215540647507
9,25,0.237312451004982
9,26,0.04621625319123268
9,27,0.23033316433429718
9,28,0.12506604194641113
9,29,0.07239831984043121
9,30,0.17059612274169922
9,31,0.18124805390834808
10,0,0.2923572361469269
10,1,0.21486754715442657
10,2,0.1666904240846634
10,3,0.2572557330131531
10,4,0.21153809130191803
10,5,0.12158919870853424
10,6,0.11934731900691986
10,7,0.12962952256202698
10,8,0.0951329842209816
10,9,0.08004827052354813
10,10,0.18054641783237457
10,11,0.07598630338907242
10,12,0.10919158160686493
10,13,0.1344393640756607
10,14,0.1439436376094818
10,15,0.05281447991728783
10,16,0.17456942796707153
10,17,0.09313619881868362
10,18,0.16463835537433624
10,19,0.15238717198371887
10,20,0.2096249759197235
10,21,0.3087645471096039
10,22,0.12958674132823944
10,23,0.1545860320329666
10,24,0.26022669672966003
10,25,0.17774522304534912
10,26,0.1846214085817337
10,27,0.13152648508548737
10,28,0.16352646052837372
10,29,0.20294983685016632
10,30,0.1424075961112976
10,31,0.003452197415754199
11,0,0.21532857418060303
11,1,0.2046077400445938
11,2,0.13015034794807434
11,3,0.09596194326877594
11,4,0.1266196221113205
11,5,0.19901034235954285
11,6,0.10627139359712601
11,7,0.13154727220535278
11,8,0.16488702595233917
11,9,0.3692728579044342
11,10,0.20299185812473297
11,11,0.10712278634309769
11,12,0.093158058822155
11,13,0.02629706636071205
11,14,0.030124658718705177
11,15,0.030822472646832466
11,16,0.17187725007534027
11,17,0.15079741179943085
11,18,0.1359509378671646
11,19,0.13100750744342804
11,20,0.164446160197258
11,21,0.2629595100879669
11,22,0.1760859191417694
11,23,0.18122565746307373
11,24,0.1957254707813263
11,25,0.2087787389755249
11,26,0.179983451962471
11,27,0.18137358129024506
11,28,0.18985013663768768
11,29,0.09426748007535934
11,30,0.07582544535398483
11,31,0.13355711102485657
12,0,0.10896201431751251
12,1,0.09023528546094894
12,2,0.11302004754543304
12,3,0.06864806264638901
12,4,0.36236196756362915
12,5,0.3249833583831787
12,6,0.23492060601711273
12,7,0.46639353036880493
12,8,0.12643712759017944
