Layer,Head,Weight
34,25,0.3125
31,18,0.3086
34,31,0.1543
22,55,0.1387
34,24,0.1377
35,47,0.1152
35,57,0.1025
31,21,0.0991
33,52,0.0918
37,2,0.0908
36,22,0.0757
18,7,0.0723
31,17,0.0654
40,12,0.0635
16,37,0.0630
49,1,0.0620
22,52,0.0605
21,34,0.0603
31,1,0.0598
33,32,0.0586
33,35,0.0547
30,31,0.0544
48,56,0.0525
35,45,0.0522
76,10,0.0510
25,11,0.0503
40,39,0.0493
33,3,0.0481
38,48,0.0479
66,7,0.0464
34,51,0.0461
32,3,0.0449
16,39,0.0442
38,55,0.0432
44,1,0.0415
45,6,0.0415
33,9,0.0398
41,19,0.0383
69,39,0.0383
19,43,0.0364
34,52,0.0359
36,4,0.0359
76,63,0.0332
21,39,0.0330
34,41,0.0325
44,7,0.0317
16,38,0.0312
31,19,0.0305
34,54,0.0292
38,62,0.0284
32,21,0.0282
34,2,0.0280
14,61,0.0272
21,58,0.0264
38,61,0.0248
38,49,0.0237
27,19,0.0231
34,36,0.0216
34,30,0.0214
41,22,0.0209
78,7,0.0208
22,33,0.0205
34,44,0.0205
35,27,0.0203
38,28,0.0203
76,57,0.0198
49,6,0.0197
33,48,0.0195
18,4,0.0193
77,42,0.0190
27,16,0.0187
67,30,0.0187
25,60,0.0186
38,23,0.0184
74,9,0.0183
35,33,0.0182
25,9,0.0181
78,4,0.0179
26,35,0.0177
73,14,0.0177
38,39,0.0176
39,44,0.0175
31,50,0.0173
32,7,0.0173
19,50,0.0170
34,27,0.0167
40,10,0.0166
69,41,0.0166
73,15,0.0164
32,40,0.0162
74,13,0.0161
55,20,0.0157
22,34,0.0156
36,52,0.0156
25,14,0.0153
32,1,0.0150
35,26,0.0150
33,16,0.0148
37,7,0.0143
33,17,0.0139
53,34,0.0135
73,61,0.0134
38,51,0.0130
70,13,0.0130
47,13,0.0126
34,62,0.0126
35,35,0.0126
78,6,0.0124
27,28,0.0123
36,49,0.0123
26,31,0.0122
33,53,0.0121
36,6,0.0120
36,11,0.0120
29,15,0.0112
43,13,0.0112
32,5,0.0111
27,22,0.0110
18,5,0.0110
33,37,0.0108
79,1,0.0107
